key_person,source,value
062c76cd,tsncards,153972
062daaa5,tsncards,18251
063077ca,findagrave,113347132
063077ca,tsncards,80660
063077ca,tsncards,92292
0631a4b4,tsncards,14842
0631e616,tsncards,27405
06348130,tsncards,120662
06381472,tsncards,19003
0639a713,findagrave,196069467
0639a713,tsncards,57339
0639a713,tsncards,59106
063a9fd9,tsncards,1500
063ef246,tsncards,154436
063f266d,tsncards,110650
063f266d,tsncards,99806
06401afb,tsncards,10152
06411989,tsncards,9706
0645f05b,tsncards,123306
0646991a,tsncards,22520
0646991a,tsncards,23297
064c00e3,tsncards,12964
0653e1ea,tsncards,143644
0659ddf1,findagrave,55499225
0659ddf1,tsncards,11083
0660645d,findagrave,146154701
0660645d,tsncards,3397
066172e7,tsncards,32434
0661ebc7,tsncards,32843
0664f190,tsncards,94922
066725bd,tsncards,32756
0668cb46,tsncards,44957
066905a4,tsncards,24490
066a7af5,tsncards,79756
066e9ce9,tsncards,14679
066f3d51,tsncards,127545
06745433,tsncards,11991
0676b5e2,tsncards,98322
067794f3,findagrave,209894774
067794f3,tsncards,61458
0679b99c,tsncards,32584
067c48b8,tsncards,16444
067d514f,tsncards,51717
067eb232,tsncards,11159
067edb46,findagrave,56843995
067edb46,tsncards,157791
06855e1b,findagrave,94902911
06855e1b,tsncards,121092
068a6462,tsncards,140854
069125bf,findagrave,182025002
069125bf,tsncards,48650
06927a5e,tsncards,32766
0694512f,findagrave,190605613
06957292,tsncards,838
0695ccc2,tsncards,119374
06998764,tsncards,31579
069c15af,tsncards,124238
069e0fce,findagrave,211364240
069e0fce,tsncards,102727
069e685d,tsncards,139391
069f1afd,tsncards,129855
06a40a15,tsncards,142315
06a48912,tsncards,117
06a6643d,tsncards,88704
06a6b45d,tsncards,13808
06a6b751,tsncards,13640
06a789ef,tsncards,149665
06a990bd,findagrave,64098820
06a990bd,tsncards,108524
06ab4a49,tsncards,110459
06ace6eb,findagrave,179074700
06afdc00,tsncards,19023
06b0accf,findagrave,2914468
06b0accf,tsncards,44949
06b18779,tsncards,178738
06b21f34,findagrave,133428392
06b21f34,tsncards,177287
06b3ad50,tsncards,116165
06b6a2ad,tsncards,153048
06b7de83,tsncards,26053
06b8744f,findagrave,59008310
06b93330,tsncards,11068
06bd92c0,tsncards,15441
06bf0e02,tsncards,181199
06c0051b,tsncards,102238
06c1ffb1,tsncards,15022
06c3ef37,findagrave,8327069
06c5554c,findagrave,112645207
06c5bc5a,tsncards,137708
06c5fa8c,tsncards,99192
06c7dc55,tsncards,73853
06cdcf32,tsncards,6266
06d3277c,tsncards,12706
06d3f2f9,tsncards,115978
06d52794,findagrave,156843066
06d86d60,findagrave,43657432
06d86d60,tsncards,177545
06d8aaa9,tsncards,125512
06dcc8df,findagrave,5170728
06dd190a,tsncards,152683
06de8bf8,findagrave,95719743
06de8bf8,tsncards,175958
06e0910d,tsncards,53519
06e0b05c,findagrave,186904107
06e0b05c,tsncards,73061
06e0c91d,tsncards,142115
06e305c4,tsncards,146077
06e31ef3,tsncards,9714
06e6fd08,tsncards,130
06e7fbed,findagrave,142108240
