key_person,name_last,name_first,name_given,birth_year,birth_month,birth_day,altname_type,altname_lang,altname_last,altname_first,altname_given,altname_matrilineal,altname_nick,altname_date_start,altname_date_end
a7d9cd04,Broun,Lawson,Ernest Lawson,1926,,,alt-spelling,en,Brown,Ernest,Ernest L.,,,,
08137667,Sovde,Dick,Richard Dean,1935,3,9,alias,en,Browning,Richard,Richard Dean,,,,
efcbfa6a,Brooks,Mandy,Jonathan,1897,8,18,legal,en,Brozek,Jonathan,Jonathan,,,,
254b0689,Bronkie,Herman,Herman Charles,1885,3,30,legal,en,Brunke,Herman,Herman Charles,,,,
9aa2c722,Brown,Country,Elias,1896,3,28,legal,en,Bryant,Elias,Elias,,,,
791670ec,Broski,Emil,Emil C.,1921,,,birth,en,Brzowsky,Emil,Emil C.,,,,
871ecb2a,Brooks,Jerry,Gerald J.,1931,9,2,legal,en,Brzykcy,Jerry,Gerald J.,,,,
f4ebc1cf,Beaumier,Edmond,Edmond J.,1921,1,4,alias,en,Bucka,Edmond,Edmond J.,,,,
21d7a2cb,Beckle,Matt,Matt,1979,7,4,alt-spelling,en,Buckle,Matt,Matt,,,,
8abb845e,Beusse,Carlton,Carlton Gerdts,1872,8,27,alt-spelling,en,Buesse,Carlton,Carlton,,,,
44fc2ec5,Bujace,Chester,Chester George,1908,3,5,alt-spelling,en,Bujaci,Chester,Chester,,,,
c755a13f,Bunny,Sylvester,Sylvester,1923,,,birth,en,Bunyevchev,Sylvester,Sylvester,,,,
cdc3c441,Bender,John,John Reinhold,1882,5,14,alias,en,Burdette,Ike,Ike,,,1907,1907
eac2f53a,Burgin,Ralph,Ralph Dolphus,1907,9,3,alt-spelling,en,Burgen,Ralph,Ralph Dolphus,,,,
70599968,Burgardt,Richard,Richard,1929,9,15,alt-spelling,en,Burghardt,Richard,Richard,,,,
2328c925,Gwiazdowski,Edward,Edward,,,,alias,en,Burke,Edward,Edward,,,,
e9f837be,Opfergelt,Teddy,Edward Albert,1884,7,10,alias,en,Burns,Bobby,Edward A.,,,,
7bea59be,Burnam,Fred,Fred B.,1885,7,31,birth,en,Burnum,Searcy,Searcy Grover,,,,
ecf755df,Burrell,Frank,Frank Andrew,1866,12,22,alt-spelling,en,Burrill,Frank,Frank Andrew,,,,
20cfaa3d,Glaister,Heinie,Henry B.,1909,12,25,alias,en,Burris,Henry,Henry B.,,,,
e1c5be53,Bushey,Alfred,Alfred C.,,,,alias,en,Bush,George,George P.,,,1902,1902
7f1518a6,Cammons,Brett,Brett William,1986,4,24,alias,en,Butts,Brett,Brett William,,,,2011
769adf41,Rodriguez,Wandy,Wandy Fulton,1979,1,18,alias,en,Cabreja,Eny,Eny Angel,,,,
7f7573f2,Simon,Alfredo,Alfredo,1981,5,8,alias,en,Cabrera,Carlos,Carlos Eduardo,,,,
451ebfc5,Chouneau,Bill,William,1888,9,2,birth,en,Cadreau,William,William,,,,
7270f861,Caffie,Joe,Joseph Clifford,1931,2,14,alias,en,Caffrey,Cliff,Cliff,,,1950,1950
a8dfd92c,Sager,James,James Ervin,1877,9,5,birth,en,Caiger,James,James Ervin,,,,
e35c3ded,Campbell,Duncan,Duncan Desmond,1937,10,21,alias,en,Cain,Duncan,Duncan Desmond,,,,
651c8430,Calvillo,Alberto,Alberto,,,,alt-spelling,en,Calbillo,Alberto,Alberto,,,,
43773ea4,Caldwell,Neil,William Neil,1904,7,16,alt-spelling,en,Caldwell,Neal,Neal,,,,
9026112b,Kalahan,John,John Joseph,1878,9,30,alt-spelling,en,Callahan,John,John Joseph,,,,
c54a0f0a,Callaway,Joe,Joel Ellard,1928,7,2,alt-spelling,en,Calloway,Joel,Joel E.,,,,
c3d52151,Culver,Charlie,Charles,1892,11,17,alias,en,Calvert,Charlie,Charles,,,,
8a8ce06f,Kitman,Kermit,Kermit Calvin,1921,12,6,alias,en,Calvin,Ted,Ted,,,1943,1943
d413817a,Del Calvo,Oscar,Oscar,1926,,,alias,en,Calvo,Oscar,Oscar,,,,
a5323378,Campaigne,Robert,Robert,,,,alt-spelling,en,Campaigne,Ronald,Ronald,,,,
8ca874d3,Campini,Joe,Joseph Louis,1920,5,11,legal,en,Campinha,Joe,Joseph Louis,,,,
720301d4,Magalhaes,Tiago,Tiago,1981,3,18,alias,en,Campos,Tiago,Tiago,,,,
5a84ac19,Mateo,Luis,Luis Alberto,1981,8,9,alias,en,Candelario,Luis,Luis M.,,,,
8b037f51,Guerrero,Humberto,Humberto,1933,,,alias,en,Cano,Humberto,Humberto G.,,,,
2850410e,Cantley,Max,Maxie Hamilton,1914,4,15,alt-spelling,en,Canteley,Max,Max,,,,
e982c9ee,Caporal,Frank,Frank Joseph,1896,1,8,legal,en,Caparula,Francisco,Francisco,,,,
b495df5e,Cappa,John,John J.,1922,11,14,birth,en,Capobianco,John,John J.,,,,
bd950b32,Capelli,Nicholas,Nicholas E.,1932,,,alt-spelling,en,Cappelli,Nicholas,Nicholas E.,,,,
d6a6a34e,Caray,Harry,Harry Christopher,1914,3,1,birth,en,Carabina,Harry,Harry Christopher,,,,
91b31d2a,Caradona,Vic,Victor S.,1935,7,26,alt-spelling,en,Caradonna,Victor,Victor S.,,,,
62b0b2a0,Miro,Arturo,Arturo,1937,,,alias,en,Carbonell,Arturo,Arturo Miro,,,,
a564d851,McAvoy,George,George Robert,1884,3,12,alias,en,Carey,George,George Robert,,,,
111dd3cb,Carey,John,John Sanford,1914,10,2,alt-spelling,en,Carey,John,John E.,,,,
32ba7f4a,Munson,Joe,Joseph Martin Napoleon,1899,11,6,legal,en,Carlson,Joe,Joseph Martin Napoleon,,,,
171fb04d,Hernandez,Roberto,Roberto,1980,8,30,alias,en,Carmona,Fausto,Fausto C.,,,,2011
08b1dff3,Corriher,Luther,Luther Edward,1931,,,alt-spelling,en,Carriher,Luther,Luther,,,,
222da128,Zhang Carter,Alan,Alan,1997,12,16,alias,en,Carter,Alan,Alan,,,,
b3c76fd7,Crater,Marvin,Marvin Gray,1925,5,15,alt-spelling,en,Carter,Marvin,Marvin Gray,,,,
7bafee4e,Araujo,Ramon,Ramon Orlando,1978,3,4,alias,en,Carvajal,Ramon,Ramon Orlando,,,,
1ed0bc03,Cassiani,Louis,Louis Joseph,1909,3,27,alias,en,Caseani,Louis,Louis Joseph,,,,
0056a6b7,Cass,Arthur,Arthur,,,,alias,en,Casey,James,James,,,1905,1905
00321470,Lacewell-Cason,JuJu,JuJuan,1998,7,2,alias,en,Cason,JuJu,JuJuan,,,,
1ad84d3d,Cassidy,Joe,Joseph Philip,1883,2,8,legal,en,Cassiday,Joe,Joseph Phillip,,,,
101ee772,Blomberg,James,James,1933,4,2,legal,en,Castaneda,Jim,James Agustin,,,,
35ebf540,Guarino,Jose,Jose,,,,alias,en,Castillo,Jose,Jose G.,,,,
16b20120,Haserot,Les,Lester Elihu,1904,4,19,alias,en,Castlerock,Les,Lester Elihu,,,,
3c4092a7,Pinales,Aquiles,Aquiles,1974,9,5,alias,en,Cera,Aquiles,Aquiles,Pinales,,,
3262cdf2,Geraldo,Jose,Jose,1983,9,22,alias,en,Cespedes,Jose,Jose,,,,
3e36a16e,Ceballos,Alonso,Alonso P.,1932,,,alt-spelling,en,Cevallos,Alonso,Alonso,,,,
65e58d3b,Jhang,Jin-De,Jin-De,1993,5,17,alias,en,Chang,Chin Te,Chin Te,,,2020,
1b3f41f1,Chang,Li Fan,Li Fan,1990,10,31,alias,en,Chang,Yao Wen,Yao Wen,,,,
917dbb2e,Corbett,Ted,Theodore W.,1870,10,14,legal,en,Chapelski,Ted,Theodore W.,,,,
49faf933,Chappius,John,John A.,1919,,,alt-spelling,en,Chappuis,John,John A.,,,,
307aa1e3,Choptman,Devon,Devon,1922,,,alt-spelling,en,Chaptman,Devon,Devon,,,,
52e75df4,Senreiso,Juan,Juan Carlos,1981,8,4,alias,en,Charles,Julin,Julin Esterel,,,,
eb2d5538,Chase,Rolland,Rolland Aquila,1893,5,24,birth,en,Chase,Rollin,Rollin Aquila,,,,
e6e03a26,Chaves,Rafael,Rafael,1968,11,1,alt-spelling,en,Chavez,Rafael,Rafael,,,,
5a51c78c,Chen,Min Tzu,Min Tzu,1989,12,6,alias,en,Chen,Min-Sih,Min-Sih,,,,
ed7f76b6,Chen,Kuan Chieh,Kuan Chieh,1994,7,8,legal,en,Chen,Ping-Hsueh,Ping-Hsueh,,,,2019
aeab2767,Taiho,Yasuaki,Yasuaki,1963,11,15,birth,en,Chen,Tai-feng,Tai-feng,,,,
be23eae7,Chirik,Edward,Edward,1922,,,alt-spelling,en,Cherick,Edward,Edward,,,,
a299bf15,Chicken,Fred,Fred Samuel,1888,4,5,alias,en,Chick,Fred,Fred Samuel,,,,
f2221c1c,Chism,Eli,Elisha,1916,7,1,birth,en,Chisum,Eli,Elisha,,,,
8901fbb9,Chiola,Dominick,Dominick,1928,,,birth,en,Chiuchiolo,Dominick,Dominick,,,,
9aa1ef44,Chipple,Walt,Walter John,1918,9,26,birth,en,Chlipala,Walter,Walter J.,,,,
b3139055,Czopczyc,Walter,Walter,1946,6,20,birth,en,Christian,Walter,Walter,,,,
b1fd77f7,Christie,Jake,Lewis William,1919,9,3,alt-spelling,en,Christy,Jake,Lewis William,,,,
34340236,Giljegiljaw,Kungkuan,Kungkuan,1994,3,13,alias,en,Chu,Li-Jen,Li-Jen,,,2014,2019
cbb35636,Cecil,Henry,Henry Edward,1921,,,birth,en,Cieslinski,Henry,Henry Edward,,,,
42af3310,Cimoli,Gino,Gino Nicholas,1929,12,18,birth,en,Cimoli,Gino,Gino Anichletto,,,,
15658498,Stanley,Jim,James Francis,1887,12,1,legal,en,Ciolek,Stanislaus,Stanislaus Francis,,,,
ff2efb8e,Rakow,Ed,Edward Charles,1935,5,30,legal,en,Ciuksza,Edward,Edward Charles,,,,
d8da4903,Blair,Brian,Brian Derek,1972,4,9,alias,en,Clark,Brian,Brian D.,,,,
762e32d7,Chen,Si Chung,Si Chung,2000,10,18,alias,en,Clark,John,John Peter,,,,
b2fe1256,Grisham,Trent,Trenton Marcus,1996,11,1,birth,en,Clark,Trent,Trenton Marcus,,,,
6725945b,Clouse,Richard,Richard M.,,,,alt-spelling,en,Clause,Richard,Richard M.,,,,
